7.871877798314392827e-01,5.258094460897348998e-01,8.408126762038959923e-01
5.296015471636369432e-01,7.185507329380499408e-01,5.393908535095409684e-01
9.113254143532578677e-02,1.826939588081458732e-01,9.295919288399379088e-01
9.022666742763252312e-01,9.865936436814779498e-01,3.993362379517118033e-02
3.490904637047500536e-01,2.355482774489188191e-01,7.399752889719884985e-01
5.014491384226309467e-01,3.076712603061112494e-01,8.594592989900700086e-01
2.097301309916337342e-01,9.580076570881260745e-01,1.034597944678425918e-01
3.553867468294935605e-01,4.886082611995319347e-01,8.303196922892392973e-01
8.704885244670313993e-01,6.091500461534404831e-01,7.879715429708405994e-01
6.036156217146462222e-01,6.556190955876783910e-01,6.161758483078548787e-01
1.184890124152222501e-01,3.687283157025202929e-01,1.538938220261120149e-01
9.614786905753816004e-01,4.185723592768783030e-01,8.123971382162339383e-01
6.658813392857872993e-01,5.635148943386858456e-01,7.061988706965454110e-01
2.963155345480524838e-01,6.556455567977936827e-02,6.761685527977877586e-01
9.988128653630328202e-01,3.935175332320842712e-01,6.916407686527670240e-01
8.279250336343136896e-01,2.059038817583928038e-01,8.609001857075407882e-01
3.565970848099137003e-01,5.372985994846349866e-01,9.232011845086441904e-01
