9.119571049948701491e-01,7.170876919710327257e-01,6.511279119960795558e-01
8.958798812891713981e-01,7.587465960566753820e-01,3.216576342760616436e-01
2.909474366685645963e-01,7.180469268937936800e-01,2.017180252117003469e-01
7.303448444975616516e-01,7.314995258977470272e-01,1.533437536044485183e-01
2.172472735505339703e-01,7.417952353981546176e-01,1.013813058732768724e-01
8.358857640926909971e-01,6.437604393937982339e-01,3.279446013914127933e-01
2.318942486448631879e-01,2.348601435881522148e-01,6.421501701152462216e-01
7.341249839561382329e-01,4.123842299302570291e-01,4.727387657051509429e-01
2.929028676246837604e-01,7.233034935512594465e-02,3.288227704023272135e-01
4.097146544627497944e-01,3.791007245816292448e-01,2.011076620076530652e-01
7.865080338958247985e-01,9.641683696146408078e-01,6.318208575563248885e-01
3.803392615871183935e-01,4.479903735233438100e-01,9.338206252191465495e-01
8.877344588060568364e-01,8.024672357527264932e-01,5.360724685065815232e-01
8.706437283540453542e-01,2.329945174862622093e-01,5.010512992867992565e-01
6.954486589009047925e-01,9.581788659590761981e-02,4.583987374695425165e-01
9.580368956713308792e-01,2.549970331996423978e-01,4.610627052430125161e-01
8.643824907960028225e-01,3.127367102086532347e-01,3.323900136652502280e-01
